ID;Category;Source;URLs;Title;PublicationDate;SoMePlatform;RetroSampleDate;RetroSampleCountry;JointMusicking;OrigCovidSong;OrigCovidLyrics;Movement;HealthInfo;Conflict;Country;Setting;Genre;Emotions;Features;FirstCoder;SecondCoder;Comments
1;video;GoogleSheet;https://www.facebook.com/pointswest/videos/212895356587576/;Home Isolation Entertainment - BBC West;23-03-2020;Facebook;NA;NA;1;0;0;1;0;0;UK;home, living room;jazz, oldies;humour, togetherness, happiness, being moved;dance, news report;MT;JV;
2;video;GoogleSheet;https://www.facebook.com/gert.snyers/videos/10218376613741012/UzpfSTYyOTM2MDYxNzoxMDE2Mjk2OTg5MDg2MDYxOA/;Corona Virus Rhapsody - Queen cover w/ new lyrics;24-03-2020;Facebook;NA;NA;0;0;1;0;0;0;USA;NA;rock, pop, oldies;humour;choir, lyric video;MT;JW;
3;video;GoogleSheet;https://www.youtube.com/watch?v=DDRiINXik00;Heartwarming Moments Quarantined Italians Sing Together from Balconies - On Demand News;14-03-2020;YouTube;NA;NA;1;0;0;1;0;0;Italy;balcony;folk, opera, oldies;gratitude, togetherness, being moved, loneliness;compilation, news report, nationalism;MT;NCH;
4;video;GoogleSheet;https://www.youtube.com/watch?v=EBByYjjvNzs;The Italians Making Music on Balconies Under Coronavirus Quarantine - The New Yorker;20-03-2020;YouTube;NA;NA;1;0;0;0;0;0;Italy;balcony, home, outdoors;folk, classical, pop, opera, rock;gratitude, togetherness, being moved;compilation, news report;MT;JW;
5;video;GoogleSheet;https://www.youtube.com/watch?v=z5CrScIHAuE;Coronavirus: Germans sing Bella Ciao from rooftop in solidarity with Italy - Guardian News;21-03-2020;YouTube;NA;NA;1;0;0;0;0;0;Germany;balcony;folk;togetherness, being moved;news report, news;MT;JW;
6;video;GoogleSheet;https://www.youtube.com/watch?v=ccibC8o2_l8;Italians in Rome sing 'Bella Ciao' as virus lockdown continues - AFP News Agency;17-03-2020;YouTube;NA;NA;1;0;0;0;0;0;Italy;window, balcony;folk;togetherness, resilience;news report;MT;DS;
7;video;GoogleSheet;https://www.youtube.com/watch?v=8DfF5kOqOjo;Italians Sing Volare, National Anthem to Lift Spirits Amid Coronavirus Lockdown - Voa News;17-03-2020;YouTube;NA;NA;1;0;0;0;0;0;Italy;balcony;pop, folk;gratitude, togetherness;patriotism, news report, national anthem;MT;JB;
8;video;GoogleSheet;https://www.youtube.com/watch?v=Q734VN0N7hw;Coronavirus: quarantined Italians sing from balconies to lift spirits - Guardian News;13-03-2020;YouTube;NA;NA;1;0;0;0;0;0;Italy;balcony, outdoors;pop, folk, rock, oldies;gratitude, togetherness, happiness, hope, nostalgia;patriotism, compilation, news report;MT;JV;
9;video;GoogleSheet;https://www.youtube.com/watch?v=x_rLw6SCSmE;Coronavirus outbreak: Italian residents join together to sing from balconies during lockdown - Gloabl News;13-03-2020;YouTube;NA;NA;1;0;0;0;0;0;Italy;balcony;pop, folk, oldies, classical;togetherness, happiness;patriotism, compilation, news report;MT;JV;
10;video;GoogleSheet;https://www.youtube.com/watch?v=SD3B9QnUXQo;Coronavirus: How Spaniards aren't going to let life under lockdown get them down - The Telegraph;16-03-2020;YouTube;NA;NA;1;0;0;1;0;0;Spain;balcony;funk, pop, soundtrack/theme song;gratitude, togetherness, happiness, being moved, togetherness happiness, humour;compilation, news report;MT;NCH;
11;video;GoogleSheet;https://www.youtube.com/watch?v=up53FltNpsY;Community spirit in coronavirus quarantine: rooftop aerobics, singing and letters - Guardian News;17-03-2020;YouTube;NA;NA;1;0;0;1;0;0;Italy;balcony, rooftop;pop, classical, folk;togetherness, happiness, gratitude;compilation, news report;MT;JW;
12;video;GoogleSheet;https://www.youtube.com/watch?v=cKOt85w3pPg;Ce ténor chante de l’opéra à la fenêtre pour ses voisins à Paris - Le Parisien;20-03-2020;YouTube;NA;NA;0;0;0;0;0;0;France;window;opera;gratitude, togetherness, happiness, nostalgia;compilation, news report;MT;JV;
13;video;GoogleSheet;https://www.youtube.com/watch?v=0DlwXCoQprA;Paris : Un ténor chante « Caruso » à sa fenêtre, en hommage aux Italiens - Le Parisien;21-03-2020;YouTube;NA;NA;0;0;0;0;0;0;France;window, balcony;opera;gratitude, grief/sadness, togetherness, being moved, solidarity;news report;MT;DS;
14;video;GoogleSheet;https://www.youtube.com/watch?v=YIyrStcyuuM;Coronavirus: Ils font la fête à leur balcon pour garder le sourire pendant le confinement - 20MinutesFR;21-03-2020;YouTube;NA;NA;1;0;0;1;0;0;France;balcony;pop, dance/electronica;gratitude, togetherness, happiness;compilation, news report;MT;JB;
15;video;GoogleSheet;https://www.youtube.com/watch?v=JVD1PI3hz1E;Les Italiens en confinement chantent - Radio-Canada Info;16-03-2020;YouTube;NA;NA;1;0;0;0;0;0;Italy;balcony, outdoors;folk, pop, classical;gratitude, togetherness, happiness;compilation, news report;MT;JV;
16;video;GoogleSheet;https://www.youtube.com/watch?v=hJeH087maZw;"Malgré le confinement, l'Orchestre de Serbie a joué ""Bella Ciao"" pour les Italiens - Le Huff Post";21-03-2020;YouTube;NA;NA;1;0;0;0;0;0;Serbia;home;classical, folk;togetherness;splitscreen, mulittracked;MT;JB;
17;video;GoogleSheet;https://www.youtube.com/watch?v=3xt58OVnmXU;Stay Home Vogue (Vogue Corona Parody by Chris Mann);19-03-2020;YouTube;NA;NA;0;0;1;1;1;0;USA;indoors;pop;humour, happiness;black and white, music video, vogueing;MT;JV;
18;video;GoogleSheet;https://www.youtube.com/watch?v=0uDTs-9fq00;"My Corona Home - (""Kokomo"" Parody Song)";21-03-2020;YouTube;NA;NA;0;0;1;0;0;0;USA;home;soundtrack, oldies, pop;humour;music video;MT;JV;
19;video;GoogleSheet;https://www.youtube.com/watch?v=ojrtwXqqc6g;My Corona by Chris Mann;15-03-2020;YouTube;NA;NA;0;0;1;0;0;0;USA;home;rock, pop;humour;NA;MT;JW;
20;video;GoogleSheet;https://www.youtube.com/watch?v=B7iNEyoNBzE;Songs for Social Distancing - Parody Medley - Holderness Family;18-03-2020;YouTube;NA;NA;0;0;1;0;0;0;USA;home;pop;humour, happiness, gratitude;medley;MT;NCH;
21;video;GoogleSheet;https://www.youtube.com/watch?v=a2LLF9eE_VI;20-Second Parodies for Handwashing - Holderness Family;12-03-2020;YouTube;NA;NA;0;0;1;0;1;0;USA;home, studio;pop, rock, rap/hip-hop;humour;medley, compilation;MT;JB;
22;video;GoogleSheet;https://www.youtube.com/watch?v=sPLgsV_Ms3Q;Neil Diamond “Hands.. washing hands”;22-03-2020;YouTube;NA;NA;0;0;1;0;0;0;USA;home, living room;pop, oldies;humour, togetherness, happiness;NA;MT;DS;
23;video;GoogleSheet;https://www.youtube.com/watch?v=XikW-8AiV5E;Coronavirus Song “We Didn’t Spread The Virus” (Billy Joel Parody) 2020 Covid 19;14-03-2020;YouTube;NA;NA;0;0;1;0;0;0;USA;home, kitchen;pop, rock, oldies;humour;NA;MT;JW;
24;video;GoogleSheet;https://www.youtube.com/watch?v=HE-mArqqHAA;Coronavirus Song 2 “The Beatles Yesterday Except It’s About Coronavirus Quarantine” (Parody) Covid19;18-03-2020;YouTube;NA;NA;0;0;1;0;0;0;USA;home, kitchen;pop, oldies, rock;humour, nostalgia;NA;MT;JV;
25;video;GoogleSheet;https://www.youtube.com/watch?v=Mn_Bl6wzbZ0;Coronavirus Song 3 “Teach It” (Covid-19 Homeschool Song) Michael Jackson Beat It Parody 2020;20-03-2020;YouTube;NA;NA;0;0;1;0;0;0;USA;home, kitchen;pop;humour;NA;MT;DS;
26;video;GoogleSheet;https://www.youtube.com/watch?v=-Kf-9kx_oSg;Coronavirus Song 4 “500 Miles by The Proclaimers Except It’s About Making Use Of Life In Quarantine”;22-03-2020;YouTube;NA;NA;0;0;1;0;0;0;USA;home, kitchen;rock, oldies;humour;NA;MT;JW;
27;video;GoogleSheet;https://www.youtube.com/watch?v=YDFkQ8FTTgw;"""The Coronavirus Song"" Buddy Brown | Truck Sessions";14-03-2020;YouTube;NA;NA;0;1;1;0;0;1;USA;outdoors;country;humour, happiness;NA;MT;JV, JB;
28;video;GoogleSheet;https://www.youtube.com/watch?v=-pZgZCnbgYU;"""I Got A Case of Corona"" (The Sequel) | Buddy Brown";20-03-2020;YouTube;NA;NA;0;1;1;0;0;0;USA;outdoors;country, pop;humour, happiness;NA;MT;DS;
29;video;GoogleSheet;https://www.youtube.com/watch?v=-2cFN2iC9u8;Goodbye Corona!!! (My Sharona and COVID-19 Parody);11-03-2020;YouTube;NA;NA;1;0;1;0;1;1;USA, Canada;home, car;pop, rock, oldies;humour, frustration;music video;MT;NCH;
30;video;GoogleSheet;https://www.youtube.com/watch?v=3eXT60rbBVk;From us, for you - Rotterdams Philharmonisc Orkest;20-03-2020;YouTube;NA;NA;1;0;0;0;0;0;Netherlands;home;classical;togetherness, happiness, being moved;splitscreen;MT;JV;
31;video;GoogleSheet;https://www.youtube.com/watch?v=hJTL8l-EKgU;The Kiffness - Sweet Corona (Sweet Caroline Parody);16-03-2020;YouTube;NA;NA;0;0;1;0;0;1;South Africa;home, studio;pop, oldies, rock;humour, loneliness;musician frustration;MT;NCH;
32;video;GoogleSheet;https://www.youtube.com/watch?v=6pCgE4Gocbo;Hey There Corona (Plain White Tees Parody);20-03-2020;YouTube;NA;NA;0;0;1;0;0;0;South Africa;home, living room;rock;humour, boredom, frustration, loneliness;NA;MT;NCH;
33;video;GoogleSheet;https://www.youtube.com/watch?v=6IOS7-4n12c;Coronavirus-themed parody of Natalie Imbruglia’s ‘Torn’;04-03-2020;YouTube;NA;NA;0;0;1;0;0;0;China;outdoors;pop;humour, nostalgia;music video;MT;JV;
34;video;GoogleSheet;https://www.youtube.com/watch?v=RapkewnhCm8;Little girl sings coronavirus song on her guitar to help her express her anger | GMA;18-03-2020;YouTube;NA;NA;0;1;1;0;0;1;USA;home;pop, folk, bluegrass;humour, happiness, anger;news report;MT;JV, JB;
35;video;GoogleSheet;https://www.youtube.com/watch?v=wmd83ozL_Nc;Old Town Road' gets a coronavirus remix | GMA;19-03-2020;YouTube;NA;NA;0;0;1;0;1;0;USA;home, kitchen;rap/hip-hop, country;humour, cool, anger;news report;MT;NCH;
36;video;GoogleSheet;https://www.youtube.com/watch?v=JE0TGFVquvM;COVID 19 (Come on Eileen) - Sam Chaplin;10-03-2020;YouTube;NA;NA;0;0;1;0;0;0;UK;home;pop, oldies;humour, happiness;NA;MT;JV;
37;video;GoogleSheet;https://www.youtube.com/watch?v=JoypzNJFkS0;Stayin' Inside (COVID-19 Stayin' Alive Parody) - Sympholily;22-03-2020;YouTube;NA;NA;1;0;1;0;0;0;Australia;home, outdoors, yard;soundtrack, disco, oldies;humour, grief/sadness;music video;MT;JW;
38;video;GoogleSheet;https://www.youtube.com/watch?v=cbe_aoaw0y4;"""U CAN'T TOUCH THIS"" - COVID 19 Edition - Made Entirely With Healthcare Products";18-03-2020;YouTube;NA;NA;0;0;1;0;1;0;USA;home, living room;rap/hip-hop, pop;humour;music video;MT;DS;
39;video;GoogleSheet;https://www.youtube.com/watch?v=2GrK-JX4VYM;Somewhere Over The Rainbow (Toilet Paper Parody) || Coronavirus 2020 - Brianna April;20-03-2020;YouTube;NA;NA;0;0;1;0;0;0;USA;home;soundtrack, pop, oldies;humour, happiness;split sceen and slide show, music video, multitracked;MT;JV, JB;
40;video;GoogleSheet;https://www.youtube.com/watch?v=lHX0Hj5PbUQ;“Hey There Corona” A song about Covid-19;20-03-2020;YouTube;NA;NA;0;0;1;0;0;0;USA;home, workshop, garage;rock, pop;humour, loneliness;NA;MT;JV, JB;
41;video;GoogleSheet;https://www.youtube.com/watch?v=MkAFnQsCm8Q;COVID-19 (Come on Eileen Parody) by: Matt Cusack, Nadia Quinn, & Ameara Wahhab;14-03-2020;YouTube;NA;NA;1;0;1;0;0;0;USA;home, living room;pop, oldies;humour, happiness;NA;MT;DS;
42;video;GoogleSheet;https://www.youtube.com/watch?v=g4Rc0UQBXTI;COVID-19 The Taylor’s, Come On, Eileen -parody #songsofcomfort - JJ Mason Taylor;15-03-2020;YouTube;NA;NA;1;0;1;0;0;1;USA;home, living room;pop, oldies;humour, togetherness;lyric video;MT;DS;
43;video;GoogleSheet;https://www.youtube.com/watch?v=uZKZZlgm83I;COVID-19 (Parody of Come On Eileen);16-03-2020;YouTube;NA;NA;0;0;1;1;1;0;USA;outdoors;pop, oldies;humour, happiness;music video and slide show, music video, bluescreen, greenscreen;MT;JV;
44;video;GoogleSheet;https://www.youtube.com/watch?v=lH9k4HTaTxU;Corona Virus Dance Challenge - Let's dance for a good cause!;12-03-2020;YouTube;NA;NA;1;0;0;1;1;0;Switzerland;gym, dance studio;dance/electronica;happiness;dance, educational;MT;NCH;
45;video;GoogleSheet;https://www.youtube.com/watch?v=NR21Am5YM2U;Au Vietnam, un challenge de dance contre le coronavirus;06-03-2020;YouTube;NA;NA;1;1;1;1;1;0;Vietnam;outdoors, animation;dance/electronica, pop;happiness;dance, compilation, animation;MT;JV;
